Clade1 genetic diversity																			
19	QMS3	5	7	81	81	7	7	7	7	17	19	19	19	0	0	49	55	35	35
19	QMS4	5	7	0	0	7	7	5	9	15	19	19	19	79	79	47	53	35	35
19	QMS5	7	7	81	81	7	7	7	9	15	17	19	19	79	83	63	63	35	35
19	QMS6	5	7	81	81	7	7	7	7	15	17	19	19	77	83	55	59	35	35
19	QMS7	7	7	81	81	7	7	7	7	17	27	15	19	85	89	49	59	35	35
19	QMS8	5	5	81	81	7	7	7	7	17	17	19	19	81	81	55	55	35	35
19	QMS9	5	7	81	81	7	7	7	7	17	17	19	19	77	81	61	63	35	35
19	QMS10	7	11	81	81	7	7	7	11	15	15	19	19	77	79	49	59	35	37
19	QMS11	5	5	81	81	7	7	7	7	15	15	17	19	77	77	51	51	35	35
19	QMS12	0	0	81	81	7	7	9	13	15	15	19	19	83	85	55	55	35	37
19	QMS13	5	5	81	81	7	7	9	9	17	17	19	19	75	83	59	59	33	35
19	QMS14	0	0	81	81	7	7	7	9	17	17	19	19	75	83	59	59	35	35
19	QMS15	5	7	81	81	7	7	9	11	15	17	15	19	75	77	55	59	33	35
19	QMS16	7	7	81	81	7	7	7	9	17	17	17	19	81	83	55	55	29	35
19	QMS17	5	7	81	81	7	7	7	7	15	21	19	19	77	81	53	53	27	35
19	QMS18	5	5	0	0	7	7	7	7	15	17	19	19	77	81	55	59	33	35
19	QMS19	3	7	81	81	7	7	7	7	17	19	19	19	75	77	49	55	29	35
19	QMS20	7	7	81	81	7	7	7	7	15	19	19	19	77	77	51	59	33	35
19	QMS21	5	5	81	81	7	7	7	7	15	17	19	19	77	77	55	65	39	35
19	QMS22	7	7	81	81	7	7	5	5	15	15	19	19	81	83	55	59	33	35
19	QMS23	5	5	81	81	7	7	7	7	15	15	19	19	79	81	51	55	31	35
19	QMS24	5	15	81	81	7	7	7	7	15	33	19	19	77	81	55	59	33	37
20	TNP1	7	9	83	83	7	7	13	15	13	13	13	13	71	71	17	17	25	35
20	TNP2	5	7	83	83	7	7	13	15	13	19	13	13	65	73	21	21	31	35
20	TNP3	7	7	83	87	7	7	15	19	13	15	13	13	71	73	19	21	23	29
20	TNP4	7	9	83	83	7	7	15	15	13	15	13	13	71	71	21	25	23	29
20	TNP5	7	7	83	97	7	7	15	23	13	15	13	13	71	91	17	17	27	29
20	TNP6	7	7	83	83	7	7	15	15	21	21	13	13	71	81	21	21	27	27
20	TNP7	5	5	83	83	7	7	15	15	13	17	13	13	75	75	15	17	25	29
20	TNP8	7	9	83	83	7	9	7	19	13	13	13	13	65	71	19	23	27	27
20	TNP9	9	9	83	83	7	11	15	15	15	17	13	13	71	73	17	21	25	27
20	TNP10	9	9	83	83	7	7	15	15	13	17	13	13	71	81	19	23	29	29
20	TNP11	1	11	83	83	7	7	15	21	13	15	13	13	71	75	19	19	27	29
20	TNP12	7	7	83	83	7	7	13	15	13	17	13	13	65	71	21	21	27	27
20	TNP13	5	5	83	83	7	7	15	15	13	13	13	13	71	73	19	19	29	29
20	TNP14	3	9	83	83	7	7	13	15	13	13	13	13	71	71	19	19	29	29
20	TNP15	5	9	83	83	5	5	19	19	13	15	13	13	65	71	19	23	23	27
20	TNP16	3	9	83	83	7	9	15	19	13	15	13	13	71	91	21	25	25	25
20	TNP17	5	5	83	83	7	7	15	15	21	21	13	13	65	65	19	23	27	27
20	TNP18	5	9	83	83	7	9	15	21	13	19	13	13	73	73	19	23	25	27
20	TNP19	3	11	83	83	7	7	15	15	15	17	13	13	75	75	19	19	29	29
20	TNP20	7	9	83	83	5	5	15	19	13	13	13	13	71	73	19	19	25	29
20	TNP21	5	9	83	83	7	7	15	19	15	21	13	13	73	73	17	19	27	29
20	TNP22	7	9	83	83	7	7	15	15	13	15	13	13	51	73	17	23	27	27
20	TNP23	5	9	83	83	5	5	15	19	15	17	13	13	65	65	23	23	27	27
20	TNP24	5	9	83	83	7	7	9	19	13	13	13	13	65	71	21	21	27	29
21	HB1	7	7	81	81	7	7	21	21	0	0	0	0	71	75	47	47	43	43
21	HB2	7	9	81	81	7	7	25	25	0	0	0	0	75	77	35	43	55	55
21	HB3	7	7	81	81	7	7	23	23	21	23	0	0	73	79	41	43	47	47
21	HB4	7	9	81	81	7	7	21	25	23	25	0	0	69	71	51	59	59	67
21	HB5	7	7	81	81	7	7	5	25	23	25	0	0	71	71	33	41	51	57
21	HB6	7	7	81	81	7	7	23	25	23	23	0	0	71	71	39	51	59	59
21	HB7	9	9	81	81	7	7	21	25	23	25	5	5	69	81	41	53	43	71
21	HB8	7	7	81	81	7	7	23	31	23	25	5	5	71	71	41	41	53	53
21	HB9	5	9	81	81	7	7	21	25	23	25	0	0	77	79	43	51	63	67
21	HB10	7	9	81	81	7	7	27	27	23	25	0	0	71	71	57	59	59	59
21	HB11	7	9	81	81	7	7	27	29	0	0	5	5	73	77	41	43	63	65
21	HB12	5	7	81	81	7	7	27	27	0	0	0	0	71	77	0	0	57	67
21	HB13	0	0	81	81	7	7	25	25	0	0	0	0	59	59	0	0	63	63
21	HB14	7	7	81	81	7	7	23	23	0	0	0	0	71	71	45	45	57	65
21	HB15	9	9	81	81	7	7	23	23	19	21	5	5	71	73	35	35	65	65
21	HB16	7	9	81	81	7	7	25	25	21	23	5	5	69	71	31	45	63	67
21	HB17	9	9	81	81	7	7	25	25	21	23	5	5	69	69	31	31	67	67
21	HB18	7	9	81	81	7	7	25	25	23	25	0	0	73	73	41	41	55	67
21	HB19	7	9	81	81	7	7	23	23	21	23	0	0	71	73	41	41	55	67
21	HB20	9	9	81	81	7	7	31	31	21	23	5	5	71	71	45	45	71	71
21	HB21	9	9	81	81	7	7	31	31	21	23	5	5	75	77	35	43	55	55
21	HB22	7	9	81	81	7	7	25	25	19	21	5	5	71	71	41	49	59	65
21	HB23	9	9	81	81	5	5	23	23	0	0	5	5	71	75	19	19	57	71
21	HB24	9	9	81	81	3	3	25	25	0	0	0	0	69	69	19	19	0	0
21	HB25	7	7	81	81	7	7	31	31	0	0	5	5	71	71	15	15	69	69
21	HB26	5	9	81	81	7	7	23	29	0	0	5	5	71	77	15	21	61	75
21	HB27	9	9	81	81	7	7	5	29	0	0	5	5	71	73	15	17	57	57
21	HB28	7	7	81	81	7	7	5	25	23	23	5	5	71	79	17	21	45	67
21	HB29	7	7	81	81	7	7	23	25	21	21	5	5	79	79	15	19	57	65
21	HB30	9	9	0	0	7	7	0	0	21	21	5	5	51	79	15	19	51	61
21	HB31	5	9	81	81	7	7	23	25	21	23	5	5	69	71	19	21	53	59
21	HB32	7	9	81	81	7	7	23	25	21	23	5	5	71	71	19	21	67	71
22	SNP1	19	19	0	0	49	49	17	17	77	77	19	19	51	51	0	0	0	0
22	SNP2	19	19	127	127	51	57	35	35	77	77	19	19	25	51	51	51	11	11
22	SNP3	19	19	127	127	49	55	0	0	51	77	19	19	25	51	51	51	11	11
22	SNP4	19	19	0	0	51	57	0	0	77	77	19	19	25	51	51	59	11	11
22	SNP5	19	19	0	0	49	49	1	1	77	77	19	19	25	51	57	59	11	11
22	SNP6	19	19	127	127	51	55	37	37	51	77	19	19	25	51	51	59	0	0
22	SNP7	19	19	0	0	47	51	0	0	51	77	19	19	25	51	53	53	9	11
22	SNP8	19	19	0	0	57	57	35	37	51	77	19	19	25	51	63	63	11	11
22	SNP9	19	19	127	127	51	55	0	0	77	77	19	19	51	51	57	59	11	11
22	SNP10	19	19	127	127	51	57	39	43	51	77	0	0	25	51	0	0	9	9
22	SNP11	19	19	127	127	51	57	33	33	51	77	19	19	25	51	59	59	11	11
22	SNP12	19	19	127	127	49	57	41	43	0	0	0	0	25	51	0	0	0	0
22	SNP13	19	19	0	0	51	51	0	0	51	77	0	0	25	51	0	0	11	11
22	SNP14	19	19	127	127	53	57	33	43	51	77	19	19	25	51	59	59	0	0
22	SNP15	19	19	127	127	51	55	41	41	51	77	19	19	25	51	51	51	9	11
22	SNP16	19	19	0	0	53	53	0	0	51	77	19	19	25	51	51	65	11	11
22	SNP17	19	19	127	127	53	57	33	39	77	77	0	0	51	51	0	0	11	11
22	SNP18	19	19	0	0	51	55	39	43	77	77	0	0	51	51	0	0	9	11
22	SNP19	19	19	127	127	51	57	17	17	51	77	0	0	25	51	51	51	0	0
22	SNP20	19	19	127	127	51	51	33	33	77	77	0	0	25	51	59	63	11	11
22	SNP21	19	19	0	0	51	57	33	33	55	69	19	19	25	51	51	59	11	11
22	SNP22	19	19	0	0	51	57	0	0	55	67	0	0	51	51	0	0	11	11
22	SNP23	19	19	0	0	49	57	33	33	57	69	19	19	25	51	61	63	0	0
22	SNP24	19	19	127	127	51	57	35	35	63	63	19	19	25	51	51	51	11	11
23	DAL1	9	9	81	81	7	7	25	31	0	0	13	13	67	71	23	29	39	39
23	DAL2	9	9	81	81	7	7	23	23	0	0	13	13	67	67	25	25	41	45
23	DAL3	9	9	81	81	7	7	25	25	23	23	13	13	67	73	23	31	39	47
23	DAL4	9	9	81	81	7	7	25	27	25	25	13	13	71	79	27	27	39	39
23	DAL5	9	9	81	81	7	7	23	27	23	23	13	13	69	83	23	27	39	41
23	DAL6	9	9	81	81	7	7	25	25	23	23	13	13	71	71	29	29	41	41
23	DAL7	9	19	81	81	7	7	27	27	0	0	0	0	65	65	25	29	11	39
23	DAL8	19	19	81	81	3	3	23	25	0	0	0	0	0	0	29	29	39	39
23	DAL9	9	19	81	81	7	7	23	29	0	0	13	13	71	73	23	31	39	41
23	DAL10	9	19	81	81	7	7	29	29	0	0	0	0	69	71	21	21	11	41
23	DAL11	9	9	81	81	7	7	23	27	0	0	13	13	73	83	23	27	39	41
23	DAL12	19	19	81	81	5	5	27	27	0	0	0	0	51	51	29	29	11	35
24	KT1	9	9	81	81	7	7	27	27	0	0	13	13	73	73	17	17	37	37
24	KT2	9	9	81	81	7	7	25	27	0	0	13	13	71	73	13	13	47	47
24	KT3	9	9	81	81	7	7	27	27	0	0	13	13	71	81	19	19	39	39
24	KT4	9	9	81	81	7	7	27	27	0	0	13	13	71	71	21	21	43	43
25	Wu1	9	15	0	0	7	7	27	31	27	27	13	13	73	73	27	27	0	0
25	Wu2	9	15	0	0	7	7	25	27	25	25	0	0	77	87	21	35	39	43
25	Wu3	9	9	0	0	7	7	19	29	27	27	13	13	73	73	27	27	41	43
25	Wu4	9	9	0	0	7	7	19	27	25	27	13	13	69	77	29	31	47	47
25	Wu5	9	9	81	81	7	7	17	29	27	27	13	13	67	77	25	37	43	43
25	Wu6	9	9	81	81	7	7	23	27	25	25	13	13	73	75	25	33	39	39
25	Wu7	9	9	81	81	7	7	25	25	25	25	13	15	69	73	27	33	43	43
25	Wu8	9	15	81	81	7	7	25	29	0	0	13	13	73	81	25	27	45	45
25	Wu9	9	9	81	81	7	7	25	25	0	0	13	13	79	79	27	27	41	43
25	Wu10	9	9	81	81	7	7	19	25	0	0	13	13	71	73	0	0	41	47
25	Wu11	9	9	0	0	7	7	23	25	0	0	13	13	73	77	23	23	41	49
25	Wu12	15	15	0	0	7	9	0	0	0	0	13	15	73	83	27	27	43	43
25	Wu13	9	9	0	0	7	7	25	25	25	25	13	15	73	81	33	33	41	45
25	Wu14	9	9	0	0	7	7	25	27	23	25	13	13	73	83	23	27	41	43
25	Wu15	9	15	81	81	7	7	23	27	0	0	13	13	77	77	25	39	41	43
25	Wu16	9	9	0	0	7	7	19	25	0	0	13	13	71	71	27	31	41	41
25	Wu17	9	9	81	81	7	7	23	25	0	0	13	13	77	95	25	31	39	63
25	Wu18	9	11	0	0	7	7	31	31	0	0	13	13	69	73	25	25	43	45
25	Wu19	9	15	0	0	7	7	23	25	0	0	13	13	69	69	33	33	43	45
25	Wu20	9	9	0	0	7	7	25	25	0	0	13	13	63	79	15	25	41	45
25	Wu21	9	9	81	81	7	7	23	25	0	0	13	13	71	73	27	35	45	45
25	Wu22	9	9	0	0	7	7	25	25	25	25	13	13	71	77	29	35	39	39
25	Wu23	9	15	81	81	7	7	17	27	0	0	13	15	73	83	27	27	47	47
25	Wu24	9	9	0	0	7	7	17	25	0	0	13	13	73	83	31	31	47	47
26	I2-1	15	15	63	69	7	7	27	31	0	0	13	13	85	85	27	29	43	43
26	I2-2	15	15	63	69	7	7	27	29	0	0	13	13	83	83	27	27	43	43
26	I2-3	15	15	63	69	7	7	27	27	25	25	13	13	83	83	27	27	43	43
26	I2-4	15	17	63	63	7	7	21	27	25	25	13	13	75	83	27	27	43	43
26	I2-5	15	15	63	69	7	7	21	21	25	27	13	13	83	83	27	27	43	43
26	I2-6	17	17	63	63	7	11	25	27	25	27	13	13	85	85	19	27	39	43
26	I2-7	15	15	0	0	7	11	25	27	25	25	13	13	75	83	27	27	39	43
26	I2-8	17	17	63	69	7	9	27	27	27	27	13	13	69	83	27	27	43	43
26	I2-9	15	15	63	69	7	9	27	27	25	25	13	13	75	75	27	27	43	43
26	I2-10	15	15	63	69	7	9	21	25	23	23	13	13	75	75	27	27	43	43
26	I2-11	15	15	63	63	7	7	27	33	0	0	13	13	79	85	27	27	43	45
26	I2-12	15	17	63	63	7	7	27	29	0	0	13	13	81	83	27	27	43	43
26	I2-13	15	15	63	63	7	7	25	33	0	0	13	13	77	83	27	29	43	43
26	I2-14	15	15	63	63	7	7	27	29	0	0	13	13	75	85	27	27	43	43
26	I2-15	15	17	63	69	7	7	27	33	0	0	13	13	75	83	27	27	43	43
26	I2-16	15	15	63	81	7	7	29	33	0	0	13	13	81	85	27	27	43	43
26	I2-17	15	17	63	69	7	7	29	29	0	0	13	13	75	85	27	27	43	43
26	I2-18	15	17	63	69	7	7	27	29	0	0	13	13	83	83	27	27	43	43
26	I2-19	15	15	63	69	7	7	25	33	0	0	13	13	75	83	27	27	43	43
26	I2-20	15	15	63	69	7	7	29	31	0	0	13	13	83	83	27	31	43	43
26	I2-21	15	15	63	69	7	7	27	29	0	0	5	13	69	69	27	27	43	43
26	I2-22	15	17	63	69	7	7	27	29	0	0	13	13	83	85	27	27	43	43
26	I2-23	15	15	63	63	7	7	29	29	0	0	13	13	85	85	27	27	43	43
26	I2-24	15	17	63	63	7	7	27	27	0	0	13	13	75	75	27	27	43	43
27	I9-1	15	17	63	63	7	9	23	25	23	23	13	13	81	81	27	27	0	0
27	I9-2	15	15	63	63	7	11	23	27	25	25	13	13	81	81	27	27	39	45
27	I9-3	15	17	63	69	7	11	25	25	23	23	13	13	83	83	27	27	43	43
27	I9-4	15	17	63	63	7	9	31	31	23	23	13	13	81	81	27	27	43	43
27	I9-5	13	15	63	63	7	7	25	27	23	23	13	13	75	85	27	27	39	43
27	I9-6	13	17	63	63	7	7	21	25	23	23	13	13	83	85	27	27	39	43
27	I9-7	15	15	63	69	7	7	23	27	21	21	13	13	77	85	27	27	43	43
27	I9-8	15	15	63	69	7	7	23	27	15	15	13	13	83	83	27	29	43	43
27	I9-9	15	15	63	63	7	7	21	27	25	25	13	13	79	83	27	27	39	43
27	I9-10	15	15	63	63	7	7	27	29	27	27	13	13	75	81	27	27	43	43
27	I9-11	15	17	63	69	7	7	27	27	27	27	13	13	81	85	27	27	43	43
27	I9-12	15	17	63	63	7	7	25	29	27	27	13	13	81	81	27	29	43	43
27	I9-13	15	15	63	63	3	7	23	27	25	25	13	13	69	81	27	27	43	43
27	I9-14	15	15	63	63	3	7	25	25	27	27	19	19	79	79	27	29	43	43
27	I9-15	15	17	63	63	1	7	27	31	23	23	13	13	81	83	27	31	43	43
27	I9-16	15	15	63	63	3	7	29	29	19	19	13	13	85	85	27	27	43	43
27	I9-17	15	15	63	63	7	7	25	31	25	27	13	13	81	83	27	29	43	43
27	I9-18	17	17	63	63	5	7	27	29	25	27	13	13	73	81	27	27	39	43
27	I9-19	15	17	63	63	3	7	23	23	31	33	13	13	69	87	27	27	43	43
27	I9-20	15	17	63	63	3	7	27	31	27	27	13	13	77	83	29	29	43	43
27	I9-21	15	15	63	63	11	7	27	27	27	27	13	13	81	83	27	27	43	43
27	I9-22	15	17	63	69	7	7	25	25	27	27	13	13	75	83	27	27	43	43
27	I9-23	15	17	63	63	7	7	27	27	25	29	13	13	81	83	27	27	43	43
27	I9-24	15	17	63	63	7	7	27	27	29	31	13	13	81	81	27	27	39	43
28	Tai10-1	15	17	63	63	7	7	25	27	27	27	13	13	71	77	29	39	43	45
28	Tai10-2	15	19	63	63	7	7	25	29	27	27	13	13	81	81	19	19	45	47
28	Tai10-3	15	17	63	63	7	7	23	25	27	27	13	13	71	73	29	37	43	43
28	Tai10-4	21	21	63	63	7	7	21	25	25	25	13	13	81	81	23	37	43	45
28	Tai10-5	19	21	63	63	7	7	25	29	27	27	13	13	63	73	29	33	49	49
28	Tai10-6	13	19	63	63	7	7	25	29	25	25	13	13	75	77	35	35	47	53
28	Tai10-7	15	19	63	63	7	7	25	29	25	27	13	13	73	73	25	33	43	43
28	Tai10-8	21	23	63	63	3	7	25	29	0	0	13	13	71	79	23	35	43	45
28	Tai10-9	15	19	63	63	3	7	29	35	0	0	13	13	75	93	0	0	43	47
28	Tai10-10	21	21	63	63	7	7	5	31	27	27	13	13	75	75	19	25	43	43
28	Tai10-11	19	23	63	63	7	7	21	21	25	25	13	19	77	77	25	35	43	43
28	Tai10-12	15	19	63	63	7	7	25	27	25	25	13	13	73	75	27	37	43	49
28	Tai10-13	19	19	63	63	7	7	29	29	25	25	13	13	75	93	23	29	47	47
28	Tai10-14	19	19	63	63	7	7	27	27	25	25	13	13	69	75	13	25	43	43
28	Tai10-15	21	21	63	63	7	7	27	27	0	0	13	13	73	75	35	35	43	49
28	Tai10-16	15	21	63	63	7	7	27	27	0	0	13	13	73	77	27	37	45	47
28	Tai10-17	19	21	63	63	7	7	21	21	0	0	13	13	75	75	35	35	45	45
28	Tai10-18	15	15	63	63	7	7	19	27	27	27	13	19	71	77	25	27	39	43
29	Trang1	9	13	33	33	7	7	5	21	5	5	25	27	53	75	23	51	37	37
29	Trang2	13	13	15	25	7	7	7	27	7	7	25	27	53	67	19	47	37	37
29	Trang3	15	15	27	35	3	7	7	17	0	0	25	27	53	53	19	27	37	37
29	Trang4	9	9	29	35	7	7	21	25	5	5	27	27	0	0	19	19	37	37
29	Trang5	9	13	25	27	3	7	21	21	7	7	27	27	75	77	19	19	31	37
29	Trang6	9	9	31	31	1	7	19	25	7	7	27	27	53	71	45	47	37	37
29	Trang7	9	13	1	7	7	7	23	25	0	0	27	27	53	71	23	47	15	19
29	Trang8	9	13	1	7	3	7	5	5	5	5	27	27	87	89	23	23	13	15
29	Trang9	9	9	1	1	7	7	15	15	5	5	21	27	77	81	23	51	17	17
29	Trang10	9	9	1	1	7	7	17	23	5	5	0	0	53	53	23	23	7	15
29	Trang11	9	13	1	1	7	7	19	19	5	7	27	29	65	67	23	37	5	17
29	Trang12	9	9	1	7	7	7	17	17	5	5	27	27	53	75	27	51	11	15
29	Trang13	9	13	1	7	7	7	5	27	7	7	27	27	77	81	47	47	13	13
29	Trang14	9	13	1	7	7	7	1	7	5	7	27	27	87	89	19	31	13	17
29	Trang15	9	13	1	1	7	7	1	1	5	5	27	27	75	77	45	51	13	13
29	Trang16	9	15	1	1	7	7	23	29	5	7	25	27	81	83	23	47	7	13
29	Trang17	9	15	1	1	7	7	17	17	5	7	25	27	53	87	19	41	13	13
29	Trang18	9	9	7	9	7	7	17	17	5	7	25	27	53	87	0	0	9	11
29	Trang19	9	9	1	7	7	7	5	19	5	7	27	27	53	81	23	23	13	13
29	Trang20	9	9	1	7	7	7	5	27	5	5	25	27	53	75	23	23	13	15
29	Trang21	9	9	1	7	7	7	5	23	5	7	27	27	53	51	19	23	11	15
29	Trang22	9	13	1	1	7	7	17	27	5	5	27	27	53	51	19	19	7	13
29	Trang23	9	13	1	1	7	7	23	23	5	5	27	27	53	75	19	19	11	13
29	Trang24	9	13	1	3	7	7	5	5	5	7	21	27	77	75	23	23	19	19
30	Jian1	9	11	63	63	7	7	19	19	3	3	11	21	77	77	0	0	37	37
30	Jian2	9	9	63	63	7	7	7	19	0	0	11	15	0	0	0	0	39	43
30	Jian3	9	9	63	63	7	7	15	17	3	3	23	23	39	75	0	0	37	37
30	Jian4	9	9	63	63	3	7	7	19	0	0	11	11	0	0	0	0	39	43
30	Jian5	0	0	0	0	0	0	0	0	0	0	23	23	0	0	59	59	39	39
30	Jian6	9	9	63	63	7	7	19	19	3	3	0	0	39	73	59	59	37	37
30	Jian7	0	0	0	0	5	7	9	19	0	0	0	0	39	43	59	61	37	37
30	Jian8	9	9	63	63	7	7	9	19	3	3	23	23	39	77	57	59	37	37
30	Jian9	9	9	63	63	7	7	19	23	3	3	23	23	75	77	61	61	37	37
30	Jian10	9	9	63	63	7	7	7	7	0	0	11	23	0	0	61	61	39	43
30	Jian11	9	9	63	63	7	9	7	7	0	0	11	15	37	39	61	61	39	43
30	Jian12	9	11	63	63	7	7	19	19	3	3	11	21	77	77	61	61	37	37
																			
																			
																			
																			
																			
