Tree ID	Population	type	crown dia	branch #	l1	w1	l2	w2	l3	w3	l4	w4	l5	w5	tree_h	h_1st_br	rel_h1b	pet_l	pet_w	pet_diag	pis_l	pis_w	sty_l	sty_bw	sty_mw
DS.10	DolanSprings	eastern	2.25	4	19	1	19	1	21	1	18	0.9	18	0.8	1.86	0.74	0.397849462	35.98	14.41	16.09	27.08	10.12	9.8	6.7	5.2
8MV.01	EightmileVal	eastern	2.3	29	13	0.59	11.5	0.6	13	0.73	15	1	13.5	0.72	2.425925926	0.425925926	0.175572519	47.09	12.13	23.76	21.3	8.33	7.4	6.1	5.1
8MV.02	EightmileVal	eastern	1.5	15	12	0.73	12.5	0.8	10.5	0.69	10	0.49	12	0.9	2.071428571	0.321428571	0.155172414	41.6	9.71	19.9	20.52	7.16	6.3	5.6	4.4
8MV.03	EightmileVal	eastern	1	12	16	0.96	17	0.97	17	1	17.5	0.96	14.5	1	1.971830986	0.154929577	0.078571429	41.52	9.2	21.2	19.98	7.49	6.8	6.7	5.5
8MV.04	EightmileVal	eastern	2.3	18	16	0.8	16	1	17	1	16.5	1	15.5	0.9	2.1625	0	0	44.6	9.9	24.5	19.9	5.84	5.8	3.9	3.2
8MV.05	EightmileVal	eastern	1.1	8	14	0.9	14	0.9	14	1.07	15	1.1	15.5	0.9	1.464052288	0.137254902	0.09375	33.1	13.02	19.48	23.12	8.26	6.6	5.5	5
8MV.06	EightmileVal	eastern	0.26	1	20	0.88									1.801526718	0	0	34.37	6.7	14.8	21.94	7.31	7.8	5.4	4
8MV.07	EightmileVal	eastern	0.5	2	15	1	19	1.5							1.416666667	0.364583333	0.257352941	47.71	12.83	28.73	21.69	7.7	6.3	5.3	3.9
8MV.08	EightmileVal	eastern	1.8	17	12	0.71	14	0.74	15	0.9	16	1.2			2.870967742	1.161290323	0.404494382	48.53	9.79	22.91	18.6	7.4	6.1	5.6	4
8MV.09	EightmileVal	eastern	1.2	14	18	1	12	1	18	1.2	14.5	1.2			2.516129032	0.370967742	0.147435897	43.14	10.11	20.67	22.27	8.72	7.1	5.8	4.6
8MV.10	EightmileVal	eastern	2.6	28	10	0.6	11.5	0.9	12.5	11	12.5	1.2	13.5	1	2.641509434	0.245283019	0.092857143	43.05	11.39	23.38	19.08	6.02	6.8	5	3.9
HS.01	HancockSummit	eastern	2.5	27	20	1.1	18	1.1	14	0.9	18	0.9	18	1.1	2.25	0	0	48.35	9.27	8.23	25.49	8.48	7.9	5.1	4
HS.02	HancockSummit	eastern	2	21	13	0.9	12	0.8	13	0.7	12	0.9	12	0.8	2	0.5	0.25	37.53	12.15	15.42	21.61	7.23	5.5	4.7	3.6
HS.03	HancockSummit	eastern	1	13	14	0.7	12	0.6	13	0.7	16	0.9	14	0.8	2.25	0	0	33.07	7.46	7.79	20.43	7.56	6	3.8	3.2
HS.04	HancockSummit	eastern	0.75	6	16	1	15	0.7	14	1.1	11	0.6	14	1	2	0	0	35.2	11.61	16.48	22.48	7.49	7.8	5	1.9
HS.05	HancockSummit	eastern	1.75	21	16	1.1	13	0.9	19	1.1	14	0.7	15	1	2	0.25	0.125	40.37	8.36	7.34	22.9	8.5	7.6	5.5	4.2
HS.06	HancockSummit	eastern	1.5	22	16	0.9	14	0.9	17	1	17	0.9	14	0.9	2.5	0.25	0.1	41.65	9.88	9.83	19.9	6.62	7.3	4.5	2.8
HS.07	HancockSummit	eastern	11	6	18	1	23	1.2	15	1	15	1	17	0.9	2	0.25	0.125	36.25	11.55	28.29	22.84	8.97	5.7	4.2	3
HS.08	HancockSummit	eastern	1.5	13	12	0.8	10	0.6	14	0.8	15	0.8	11	0.7	2	0.25	0.125	35.12	11.48	12.66	21.36	7.9	6.3	4.8	3.4
HS.09	HancockSummit	eastern	1	16	14	1	16	0.9	16	1	16	1.1	22	1.2	2	0.25	0.125	32.65	9.23	7.74	19.84	8.59	6.4	5.5	4.1
HS.10	HancockSummit	eastern	1.75	18	21	0.7	21	0.8	24	0.9	20	0.6	24	0.9	2.5	0.75	0.3	55.37	13.69	22.37	27.34	9.24	8.7	6.4	4.7
IR.01	IndianRidge	eastern	1	6	9	10.5	10	9	7.5	0.6	1	1	0.8	0.5	1.813333333	0	0	39.31	12.49	15.45	18.78	8.35	6.5	5.8	4.3
IR.02	IndianRidge	eastern	1	16	7	11.5	12	12.5	12	0.6	0.6	0.7	0.6	0.6	2.12244898	0.387755102	0.182692308	41.38	11.52	33.42	23.75	7.67	4.6	3.6	1.7
IR.03	IndianRidge	eastern	1.5	23	10.5	11.5	9.5	12.5	12	0.8	0.9	0.8	0.6	0.6	2.295454545	0.295454545	0.128712871	34.11	13.66	15.98	25.01	8.66	6.8	5.6	3.6
IR.04	IndianRidge	eastern	1.75	26	8	10	11	9.5	8	0.5	0.6	0.6	0.7	0.6	2.176470588	0.411764706	0.189189189	35.39	11.06	18.29	23.24	7.6	7.3	5.2	3.4
IR.05	IndianRidge	eastern	1.5	12	12	9	9	10	11.5	0.8	0.8	0.6	0.8	0.9	2.044444444	0.377777778	0.184782609	32.55	11.31	15	26.71	8.68	5.5	4.5	3.5
IR.06	IndianRidge	eastern	1.8	18	15	10	10.5	10.5	12	0.8	0.7	0.8	0.7	0.8	2.095238095	0.261904762	0.125	46.79	9.9	16.29	24.11	7.69	6.2	4.4	3
IR.07	IndianRidge	eastern	1	14	9.5	10.5	9.5	9.5	10	0.7	0.8	0.7	0.8	0.6	1.206521739	0.141304348	0.117117117	36.47	10.45	17.45	21.06	6.31	6.8	4.7	3.3
IR.08	IndianRidge	eastern	1.5	17	NA	10	10.5	14	12	0.5	0.6	0.7	0.8	0.6	2.12	0.08	0.037735849	46.57	11.21	17.98	19.92	6.86	6.8	4.6	2.6
IR.09	IndianRidge	eastern	1.5	10	NA	8.5	10	9	11	0.7	0.7	0.6	0.6	0.9	2.36	0.38	0.161016949	37.9	15.08	17.78	22.47	8.72	7.8	6.2	4.7
IR.10	IndianRidge	eastern	1.4	13	9.5	8	9.5	10	11	0.8	0.9	0.6	0.8	0.8	2.178571429	0.303571429	0.139344262	47.16	12.07	16.19	23.64	7.77	8.2	5.8	4.2
JP.01	JoshuaTreePkwy	eastern	4	69	18	0.8	22	1	18	1	18	0.9	21	0.9	4.673267327	0.435643564	0.093220339	43.98	10.91	28.29	25.15	9.03	5.9	4.9	3.6
JP.02	JoshuaTreePkwy	eastern	6	45	22	0.8	23	0.7	21	0.6	20	0.5	20	0.7	5.80733945	0.394495413	0.06793049	48.01	11.15	10.33	28.71	8.71	8.5	5.7	4.9
JP.03	JoshuaTreePkwy	eastern	2.75	26	19	0.9	25	0.7	20	0.9	23	1.1			4.793103448	1.2	0.250359712	52.4	12.05	20.17	24.87	9.64	6.6	5.9	3.9
JP.04	JoshuaTreePkwy	eastern	5.5	67	16	0.8	16	0.7	18	0.7	22	0.9	17	0.7	4.818965517	0.784482759	0.162790698	48.97	11.13	11.91	33.61	10.07	6.2	4.8	3.5
JP.05	JoshuaTreePkwy	eastern	6.5	51	21	2	18	1	17	0.9	27	0.9	19	0.9	7.074468085	0.638297872	0.090225564	46.83	16.35	30.71	26.73	8.58	6.9	4.9	3.2
JP.06	JoshuaTreePkwy	eastern	5	23	24	0.8	22	0.9	23	0.9	22	0.8	23	0.8				45.8	8.35	8.95	24.21	7.48	7	4.6	3.8
JP.07	JoshuaTreePkwy	eastern	7	76	21	1.1	22	1.2	22	0.9	23	0.9	24	0.9	6.361445783	1.108433735	0.174242424	46.42	11.2	13.91	27.56	8.5	6.3	4	2.9
JP.08	JoshuaTreePkwy	eastern	5.9	85	23	0.8	22	0.9	20	0.7	18	0.7	22	0.7	4.941176471	0.952941176	0.192857143	48.44	14.02	18.58	28.97	9.41	9.3	6.7	5.2
JP.09	JoshuaTreePkwy	eastern	5	64	23	0.7	21	0.8	23	0.7	26	0.8	22	0.8	6.384615385	0.576923077	0.090361446	52.83	6.98	8.6	28.37	8.28	6	4.9	4.3
JP.10	JoshuaTreePkwy	eastern	4.5	34	25	0.9	19	0.9	21	0.9	20	1	20	0.7	3.487179487	0.794871795	0.227941176	60.28	16.43	15.16	30.07	7.31	6.2	4.4	3.4
KM.01	KingstonMtns	eastern	1.5	15	15	0.8	15	1.1	15	0.9	13	1	15	0.9	1.666666667	0.238095238	0.142857143	46.39	11.91	36.06	23.5	7.67	6.6	5.4	3.2
KM.02	KingstonMtns	eastern	1.75	5	16	0.9	14	0.9	16	1.1	18	1.1	14	0.9	1.918032787	1.06557377	0.555555556	39.76	10.39	16.89	22.44	8.33	7.2	4.2	3.2
KM.03	KingstonMtns	eastern	2.5	28	10	0.9	12	0.7	16	1	13	0.8	14	0.9	2.811320755	0.188679245	0.067114094	42.25	8.98	32.83	26.23	8.45	6.8	4.2	3.8
KM.04	KingstonMtns	eastern	3	34	15	1	12	0.9	12	0.9	13	0.8	13	0.8	3.066666667	0.933333333	0.304347826	51.87	14.85	28.79	21.25	7.32	5.9	4.1	2.8
KM.05	KingstonMtns	eastern	1.25	14	12	1	16	1	13	1	12	0.9			2.777777778	1	0.36	48.45	13.91	20.88	24.31	7.4	7.5	3.9	3.4
KM.06	KingstonMtns	eastern	0.5	3	14	0.8	14	0.9	14	1.1	13	1.1			1.844827586	0.24137931	0.130841121	45.39	12.77	15.26	25.84	7.47	9	5.7	4.3
KM.07	KingstonMtns	eastern	2	21	13	0.7	12	0.7	15	0.8	11	0.7	15	0.6	2.52	0.36	0.142857143	52.66	11.21	13.38	24.61	7.37	7.8	5.1	3.7
KM.08	KingstonMtns	eastern	2	18	10	0.7	12	0.8	9	0.8	9	0.5	10	0.6	2.518518519	0.462962963	0.183823529	53.08	11.51	24.29	20.86	7.98	7.7	6.1	3.7
KM.09	KingstonMtns	eastern	2	17	14	1	13	0.9	13	0.9	14	0.9	14	0.9	2.183098592	0.366197183	0.167741935	48.46	11.66	10.28	24.57	7.92	7.3	3.9	3.2
KM.10	KingstonMtns	eastern	2.75	45	11	0.7	12	0.7	10	0.7	13	0.7	10	0.6	2.653061224	0.367346939	0.138461538	48.8	11.13	39.36	19.54	7.36	6.6	4.2	2.7
KC.01	KyleCanyon	eastern	0.75	11	11	11	11	11	10	0.7	0.6	0.8	0.8	0.6	1.774193548	0	0	35.55	14.83	24.09	25.01	8.47	6.6	5.1	3.5
KC.02	KyleCanyon	eastern	1.75	11	11	10	10	8	8	1.1	1.1	1	0.9	0.9	2.048780488	0.268292683	0.130952381	31.8	12.81	21.51	21.29	7.85	5	5	3.5
KC.03	KyleCanyon	eastern	1.25	11	11	10	12	10	9	0.9	0.8	1	0.8	0.7	2.071428571	0.232142857	0.112068966	27.18	8.39	7.52	22.01	7.83	5.1	3.9	2.3
KC.09	KyleCanyon	eastern	2.5	13	13	12	14	12	11	0.7	0.6	0.7	0.8	0.5	3.034482759	0.172413793	0.056818182	36.66	10.14	24.5	24.72	9	5	5.4	3.8
LC.01	LovellCanyon	eastern	2	20	13	15	14	15	15	0.9	0.9	0.8	0.9	1	3.105263158	0	0	34.71	9.5	25.87	18.69	5.91	6.3	4.7	3.2
LC.02	LovellCanyon	eastern	0.75	14	13	10	12	12	12	1	0.75	0.8	0.8	1.1				36.42	8.559	13.24	24.32	7.22	5.3	4.7	2.9
SM.01	Sawmill	eastern	2.2	14	11.5	14	11	15.5	17	0.74	0.84	0.72	0.88	0.96	2.648648649	0.459459459	0.173469388	44.9	10.43	8.66	21.53	6.58	5	3.8	2.7
SM.02	Sawmill	eastern	2.5	25	15	12.5	14	15	17	1	0.71	0.72	0.86	0.84	3.228571429	0.285714286	0.088495575	40.79	11.6	10.74	26.16	8.66	8	5.4	2.9
SM.03	Sawmill	eastern	2	29	11	12	13	12.5	13	0.79	0.9	0.74	0.71	0.78	2.160714286	0.196428571	0.090909091	39.5	8.42	13.07	23.79	8.01	6.6	3.9	2.1
SM.04	Sawmill	eastern	1	3	18.5	18	17	NA	NA	0.9	0.75	1.07	NA	NA	1.919354839	0.451612903	0.235294118	45.17	12.09	30.4	28.7	8.83	8.1	4.9	3.4
SM.05	Sawmill	eastern	1.4	26	16	15	11	17	16	0.89	0.94	0.7	0.94	1.13	2.06557377	0.229508197	0.111111111	42.04	7.94	15.58	25.41	7.9	6.3	4.6	3.6
SM.06	Sawmill	eastern	1.2	17	10	13	13.5	11	12.5	0.62	0.73	0.85	0.64	0.8	2.027777778	0	0	46.57	10.07	13.87	23.05	7.58	5.3	4.1	2.1
SM.07	Sawmill	eastern	1.4	13	19	13.5	16	18	19	0.82	0.7	0.74	0.91	1	2.666666667	0.307692308	0.115384615	44.57	13.81	15.58	20.99	7.66	5	4.7	2.2
SM.08	Sawmill	eastern	1.5	4	13	19.5	15	17	NA	0.9	1.07	0.8	1	NA	2.324324324	0.351351351	0.151162791	48.28	13.03	15.5	24.35	7.6	5.5	3.7	2.2
SM.09	Sawmill	eastern	1.6	25	13.5	15	16	17	13	0.7	0.75	0.8	0.87	0.59	1.606060606	0.151515152	0.094339623	37.67	9.12	10.81	19.78	7.45	5.3	4.2	2.2
SM.10	Sawmill	eastern	2.3	13	14	11	13	12.5	15	0.73	0.66	0.61	0.72	0.74	2.416666667	0.270833333	0.112068966	49.07	7.69	19.02	21.47	6.38	5.4	3.2	1.6
SL.01	Searchlight	eastern	1.5	21	14	0.8	1	0.7	11	0.7	10	0.8	12	0.7	2.957671958	0.597883598	0.202146691	35.48	9.71	9.25	20.39	6.58	6.4	4.6	3.2
SL.02	Searchlight	eastern	4.5	60	11	0.7	13	0.9	12	0.8	8	0.8	7	0.6	5.440366972	1.018348624	0.187183811	43.43	9.59	32.36	21.67	6.88	6.9	4.9	3.7
SL.03	Searchlight	eastern	5.5	78	19	0.9	22	0.8	21	0.9	20	0.9	19	0.8	5.877192982	0.938596491	0.159701493	50.39	12.21	13.55	24.15	8.14	8	5.7	3.5
SL.04	Searchlight	eastern	2.75	23	16	0.7	17	0.6	18	1.1	14	0.7	15	0.6	3.141176471	0.394117647	0.125468165	59.02	10.38	39.88	22.54	8.09	6.7	5	3.1
SL.05	Searchlight	eastern	2.5	24	12	0.6	11	0.6	13	0.7	14	0.7	15	0.7	2.890350877	0.824561404	0.285280728	47.51	11.44	32.45	24.03	6.74	7	3.3	2.5
SL.06	Searchlight	eastern	2.5	29	11	0.5	10	0.6	11	0.6	14	0.7			4.090361446	0.843373494	0.206185567	49.4	11.84	13.21	23.43	8.18	6.5	4.5	3.6
SL.07	Searchlight	eastern	2	9											3.532258065	0.612903226	0.173515982								
SL.09	Searchlight	eastern	1.5	12											2.457831325	0.674698795	0.274509804								
SL.10	Searchlight	eastern	1.5	9											2.277777778	0.361111111	0.158536585								
SP.01	SheepPass	eastern	2.5	27	13	13	14	16	14	0.83	0.9	0.62	0.58	0.57	2.9	1.1	0.379310345	38.89	11.42	17.73	23.07	7.8	6.8	4.6	3.7
SP.02	SheepPass	eastern	2.5	24	16	17	16	15	20	0.97	0.98	0.86	0.84	0.9	4.59375	2.15625	0.469387755	33.68	7.11	9.36	21.82	8.62	6.1	4.5	3
SP.03	SheepPass	eastern	3	22	17	17	17	13	15	0.94	1	0.91	0.8	0.72	4	0.382352941	0.095588235	37.1	10.95	10.02	24.91	7.46	5.9	5	3.1
SP.04	SheepPass	eastern	3.25	22	12	16	14	15	14	0.79	0.94	0.75	0.9	0.8	4.607142857	0.857142857	0.186046512	49	14.8	20.67	24.5	8.1	5.5	4.6	3.8
SP.05	SheepPass	eastern	2.25	12	16	19	17	19	19	1.09	1.07	0.98	0.94	1.1	3.75	0.888888889	0.237037037	30.95	11.3	16.85	21.27	7.26	6.1	4.2	3.6
SP.06	SheepPass	eastern	2.3	13	17	16	15	19	17	0.84	0.67	0.76	0.85	0.8	3.078947368	0.315789474	0.102564103	38.48	10.57	13.8	20.31	7.95	8.2	5.6	3.2
SP.07	SheepPass	eastern	2	29	19	18	20	17	19	1.02	0.8	0.8	0.83	1	2.826923077	0.634615385	0.224489796	39.67	8.24	10.76	23.88	8.11	7.3	4.3	3.6
SP.08	SheepPass	eastern	2	24	12	14	13	13	15	0.77	0.85	0.74	0.72	0.7	2.818181818	0.568181818	0.201612903	43.63	11.15	28.69	23.1	8.24	5.6	4.5	3.6
SP.09	SheepPass	eastern	2.25	26	14	15	18	13	15	0.7	0.77	0.87	0.89	0.79	3.6	0	0	39.12	10.5	13.06	22.04	8.15	6.2	5.4	3.3
SP.10	SheepPass	eastern	2.5	38	17	17	15	16	18	0.9	0.83	1	0.77	0.82	3.315789474	0.447368421	0.134920635	42.91	14.72	32.97	26.31	8.84	5.8	4.1	3.4
SR.01	SheepRange	eastern	3.4	31	12	20.5	11	18	15	0.97	1.05	0.65	1.01	1.05	3.655172414	0.310344828	0.08490566	44.61	9.38	8.78	19.32	7.39	6.8	5.5	4.4
SR.02	SheepRange	eastern	2.6	34	17	18.5	17	16	15.5	0.94	0.9	1.09	0.88	0.93	2.2	0.266666667	0.121212121	48.72	10.34	12.92	24.09	7.93	8	5.6	4
SR.03	SheepRange	eastern	1.5	21	16	11.5	15	13	15	1.07	0.81	1.01	0.85	1	1.82	0	0	35.05	9.63	13.97	21.18	8.61	8.1	5.8	4.2
SR.04	SheepRange	eastern	1.4	17	16	17	13	14	17	1.17	1.14	0.94	0.96	1.16	2.326923077	0.365384615	0.157024793	36.37	9.57	14.02	20.52	9.22	7.6	6.5	4.7
SR.05	SheepRange	eastern	1.7	15	13.5	17	10.5	14	16	0.8	1	0.74	0.84	0.86	2.487804878	0.341463415	0.137254902	44.87	9.09	15.93	25.79	7.43	6.7	4.8	3.6
SR.06	SheepRange	eastern	1	4	12.5	14	13	19		0.72	0.87	0.94	1.07		1.76056338	0.169014085	0.096	35.84	9.89	10.92	21.92	6.79	11.1	6.4	4.1
WI.01	Wikieup	eastern	4.75	45	24	1	23	0.8	26	1	26	0.8	20	0.8	4	0.769230769	0.192307692	42.92	12.33	18.26	28.38	7.84	7.2	4.7	3.6
WI.02	Wikieup	eastern	5.5	63	20	0.9	24	0.9	19	0.9	19	1.1	18	1.1	4.306818182	0.727272727	0.168865435	39.35	14.66	12.07	27.39	9.39	5.2	4.6	3.6
WI.03	Wikieup	eastern	3.75	29	21	0.9	17	0.8	21	0.8	17	0.7	15	1	3.323232323	1.767676768	0.531914894	46.22	14.91	19.98	32.3	10.66	7.2	6.5	4.6
WI.04	Wikieup	eastern	4.5	43	18	0.8	21	0.9	25	0.9	21	0.8	21	0.6	4.543478261	0.485507246	0.106858054	52.42	15.41	17.27	25.12	9.08	7	4.5	3.6
WI.05	Wikieup	eastern	5.25	34	18	0.8	20	0.9	21	0.8	26	0.8	22	1.1	4.958333333	0.944444444	0.19047619	61.7	12.91	28.86	27.14	9.7	5.9	4.9	2.8
WI.06	Wikieup	eastern	4	24	19	0.7	21	0.7	22	0.9	21	0.7	20	0.8	5.2	0.903703704	0.173789174	45.1	10.92	13.05	21.45	7.74	6.4	5.4	4.7
WI.07	Wikieup	eastern	2.75	39	23	0.7	25	0.5	19	0.7	19	0.6	24	0.7	4.983050847	0.991525424	0.198979592	41.3	13.74	11.56	25.9	8.6	7.1	3.9	3.6
WI.08	Wikieup	eastern	2	15	19	0.7	17	0.8	17	0.8	21	0.7	21	0.7	2.35	0.85	0.361702128	35.72	7.81	13.24	19.35	7.08	5.8	5.2	3.8
WI.09	Wikieup	eastern	3	44	18	0.8	21	0.8	21	0.7	18	0.9	24	0.9	4.06875	0.66875	0.164362519	38.44	8.64	7.99	23.33	7.59	5.8	4	3.3
WI.10	Wikieup	eastern	3.25	24	19	0.9	20	1.2	20	0.9	23	1.1	20	1	3.476744186	0.476744186	0.137123746	37.78	7.4	6.47	22.65	7.1	7.1	4.7	3.6
YF.01	YuccaForest	eastern	1.4	14	14	11.5	15	15	13.5	1.1	0.6	0.8	0.7	0.7	1.833333333	0.380952381	0.207792208	42.32	10.57	13.2	25.87	7.14	7.8	4.1	2.6
YF.02	YuccaForest	eastern	2.5	25	14	16	13	13	14	0.85	0.86	0.84	0.87	0.8	3	0.272727273	0.090909091	38.73	11.52	13.15	28.12	9.55	7.5	5.5	4
YF.03	YuccaForest	eastern	1.6	11	15	18	9	8	15	0.95	0.91	0.6	0.6	1.04	2.142857143	0	0	54.96	9.95	8.39	25.37	7.75	9	5.5	3.8
YF.04	YuccaForest	eastern	0.25	1	13	NA	NA	NA	NA	0.93	NA	NA	NA	NA	1.226804124			39.87	9.21	14.97	26.76	7.02	9.2	5.5	3.7
YF.05	YuccaForest	eastern	0.75	3	18	17	18.5	NA	NA	0.98	0.76	1.05	NA	NA	1.942307692	0	0	45	10.31	10.8	20.66	7.77	7.7	5.7	3.6
YF.06	YuccaForest	eastern	1.5	13	13	11.5	11	11	12	0.86	0.8	0.65	0.75	0.64	2.522727273	0.454545455	0.18018018	44.29	10.14	19.38	24.57	6.52	8.2	4.9	3
YF.07	YuccaForest	eastern	2.1	16	12	14	15.5	95	15.5	0.75	0.76	1	0.65	0.98	2.404255319	0.255319149	0.10619469	39.05	8.73	9.79	22.5	8.74	7.8	7	4.6
YF.08	YuccaForest	eastern	1.25	6	14	18	18	13	17	0.83	0.88	0.88	0.7	0.96	2.366666667	0.333333333	0.14084507	40.99	9.42	11.79	20.23	6.5	7.1	4.5	3.3
YF.09	YuccaForest	eastern	1.8	19	14	16	14	13.5	19	0.78	1.08	0.76	0.71	1.13	2.38	2.32	0.974789916	47.79	13.46	12.02	27.89	8.63	8.3	6.1	4
YF.10	YuccaForest	eastern	0.25	2	12	16	NA	NA	NA	0.73	1.1	NA	NA	NA	1.637681159	0	0	40.79	11.79	15.83	22.55	7.34	5.5	5.6	4.1
