"Microsat data for Joshua tree, from Yoder et al 2013, JEB"											
408	28	10	2	3	type
JoshuaTree	west
SanAndreas	west
FreemontPk	west
KramerHills	west
CacutsFlats	west
Trona	west
EurekaValley	west
GoldPoint	west
ClaytonValley	west
MontezumaPk	west
NevTestSiteII	west
TVSouth	west
TikabooValley	contact
HancockSummit	east
DelamarVal	east
EightmileVal	east
SheepRange	east
SheepPass	east
Shivwitts	east
YuccaForest	east
IndianRidge	east
KingstonMtns	east
Cima	east
Searchlight	east
DolanSprings	east
Wikieup	east
JoshuaTreePk	east
AlamoLake	east
Population	Individual	YB04	YB06	YB12	YB13	YB01	YB15	YB21	FIL36	YB08	YB22	
26	i46605	152156	223228	105105	185191	163167	186197	095119	151151	122122	204214
26	i46606	154154	205230	109109	175175	169175	180194	111121	161167	122124	163192
26	i46607	149158	232232	109109	191201	163163	196196	111111	165175	122128	175175
26	i46701	149149	223232	105105	185209	163173	186197	095111	159159	124124	196206
26	i46702	136152	232232	105109	181201	159163	180203	099125	159165	122122	171198
26	i46703	149156	217234	105117	185191	151161	194201	099111	165167	122140	202202
26	i46704	149152	223230	105105	185205	163175	197203	095095	165165	124128	204206
26	i46705	149164	228234	105109	201207	163169	196205	111113	165165	124129	167171
26	i46706	156164	223223	105109	175207	163171	192201	095095	165167	127128	167201
26	i46707	152158	230232	105105	185191	171175	197205	095095	165165	122122	175206
26	i46801	149164	225236	117117	175185	161165	194196	111117	151165	122122	175204
26	i46802	149149	223230	105105	185191	161163	194197	097111	167167	124128	202202
26	i46803	136152	232232	105109	181201	159163	180203	099125	159165	122122	171198
27	i46101	160166	217227	105117	203203	165171	196205	109109	165167	122122	173175
27	i46102	156168	217232	105105	191197	169177	191203	119119	165165	122122	186197
27	i46103	145152	211217	105105	165201	161165	196196	109109	165165	133133	175183
27	i46104	152154	213236	105105	199199	159171	180196	101105	169169	133133	189198
27	i46105	156164	228228	109117	189199	151175	196199	099099	159159	128165	181202
27	i46201	154154	205232	105109	175193	167179	201201	105105	165165	122140	177200
27	i46202	149154	208208	105109	175191	161167	196196	105105	165167	122122	194198
27	i46203	154154	227227	105109	175175	163165	180196	113113	165165	122133	173193
27	i46204	154160	228228	105109	192201	159167	196196	097097	159169	122122	173192
27	i46205	156170	230232	109109	192199	153167	199199	105105	165165	133133	183193
27	i46206	154154	205230	109109	175191	163167	196205	109119	159165	133133	189202
27	i46207	149154	205232	105109	203203	159169	197203	095095	165165	122122	187189
27	i46303	154164	225230	105117	192192	161175	196201	117117	165169	122122	189192
27	i46305	154154	213227	105109	175175	163165	180196	113113	165165	122133	173173
28	i54901	149156	225225	105117	165203	159165	182188	111117	159159	120120	189198
28	i54902	142164	211225	109121	193203	163171	194197	115117	159159	121121	161177
28	i54903	162168	227230	105117	167171	167171	194194	121121	151163	133133	185198
28	i54904	152164	225227	105105	195203	171173	178197	095115	159159	121121	183183
28	i54905	142170	227244	105105	169181	171173	188194	095095	151159	120120	183189
28	i55003	162162	223227	117117	201201	167171	194196	117117	165165	120120	191198
28	i55004	142166	223244	109109	165201	163167	194197	117117	151165	140140	191200
28	i55005	156166	211230	105105	165165	165167	194196	095095	151165	120120	181208
28	i55006	142152	211228	105105	201201	163171	194194	095117	151151	121121	183185
28	i55007	142142	225228	105105	181181	163177	197199	111111	159159	140140	161210
